Policy_ID,Customer_ID,Policy_Type,Region,Sum_Insured,Premium,Claim_Count,Total_Claim_Amount,Risk_Score,Start_Date
P100061,C90519,Auto,East,462326,27102,0,0,0.862,2024-10-03
P100062,C88264,Health,East,499137,30582,0,0,0.581,2023-12-31
P100063,C86556,Property,North,339291,14639,0,0,0.563,2021-05-23
P100064,C50338,Auto,West,459040,23840,1,31706,1.0,2021-12-22
P100065,C33619,Property,East,243085,8256,1,6454,0.841,2020-11-23
P100066,C46721,Auto,West,220289,13055,0,0,0.631,2023-04-16
P100067,C98092,Health,South,304092,15493,0,0,0.547,2024-05-28
P100068,C26457,Auto,North,343494,15491,0,0,0.668,2023-11-04
P100069,C88543,Health,South,260601,17598,0,0,0.508,2022-03-17
P100070,C44822,Life,South,353777,11117,0,0,0.402,2025-01-25
P100071,C53787,Auto,North,330639,18768,0,0,0.791,2021-01-28
P100072,C25569,Auto,South,200169,10071,0,0,0.645,2020-10-21
P100073,C21824,Health,North,351879,20074,0,0,0.549,2023-06-28
P100074,C78423,Life,West,386353,13546,0,0,0.187,2023-10-29
P100075,C73531,Life,South,317147,7749,0,0,0.345,2024-11-02
P100076,C94397,Life,North,415265,14233,1,65894,1.0,2023-05-04
P100077,C74634,Auto,East,178260,7953,0,0,0.738,2021-10-04
P100078,C84529,Property,South,346795,15807,0,0,0.57,2022-07-01
P100079,C19783,Auto,West,182972,7828,1,27258,1.0,2024-08-04
P100080,C41379,Health,North,188592,11679,1,26250,0.872,2023-06-21
P100081,C56889,Life,South,236907,8211,0,0,0.397,2021-06-04
P100082,C24394,Property,South,205794,8145,0,0,0.497,2025-03-23
P100083,C78657,Auto,South,245200,13469,0,0,0.75,2022-05-29
P100084,C42372,Property,West,278585,12501,0,0,0.658,2021-04-29
P100085,C92836,Property,North,383715,16801,1,47313,1.0,2020-11-28
P100086,C23761,Life,East,267884,9404,1,41990,0.87,2020-09-30
P100087,C97907,Life,East,141437,4153,0,0,0.314,2023-06-23
P100088,C98738,Health,East,414007,21593,0,0,0.527,2024-10-19
P100089,C27266,Property,North,216291,7087,0,0,0.779,2023-04-24
P100090,C37697,Auto,East,294128,13215,1,4874,0.862,2023-12-18
P100091,C63150,Life,West,344654,8864,1,44192,0.886,2020-10-02
P100092,C39109,Life,North,319961,9821,0,0,0.328,2020-08-08
P100093,C70760,Property,South,409418,14313,1,14193,0.916,2021-01-05
P100094,C50718,Life,West,347900,8512,1,61220,1.0,2022-03-18
P100095,C15806,Property,South,213869,6967,1,46627,1.0,2021-01-13
P100096,C45965,Property,East,517856,23462,0,0,0.318,2020-08-19
P100097,C67416,Property,West,319433,13245,0,0,0.54,2024-10-24
P100098,C28573,Auto,North,285266,13454,0,0,0.526,2023-12-20
P100099,C39859,Auto,West,396393,22945,0,0,0.58,2021-08-07
P100100,C44853,Auto,South,324945,13454,0,0,0.94,2024-11-20
P100101,C51774,Life,North,339923,12157,0,0,0.36,2025-01-23
P100102,C72724,Property,West,549218,22991,0,0,0.695,2021-09-13
P100103,C21299,Property,West,272488,9519,0,0,0.592,2022-11-15
P100104,C79056,Health,West,268224,17246,0,0,0.576,2022-09-16
P100105,C61970,Auto,West,311658,17225,0,0,0.523,2025-03-11
P100106,C25442,Property,North,407152,15826,0,0,0.704,2020-10-24
P100107,C31069,Life,South,149347,5129,0,0,0.218,2024-02-13
P100108,C96181,Auto,West,103444,4450,0,0,0.647,2025-02-15
P100109,C96966,Auto,North,241288,10997,0,0,0.751,2023-01-14
P100110,C19890,Auto,South,136608,5720,1,39734,1.0,2021-09-11
P100111,C96257,Auto,West,257517,11387,0,0,0.708,2023-08-27
P100112,C68576,Health,South,350250,18819,0,0,0.364,2023-12-19
P100113,C25750,Health,South,210925,14770,0,0,0.51,2023-08-15
P100114,C89466,Life,North,157317,3923,1,64836,1.0,2023-08-11
P100115,C30977,Health,South,306934,17881,0,0,0.447,2024-02-18
P100116,C37118,Health,North,386254,23476,0,0,0.631,2025-03-22
P100117,C18197,Auto,West,130503,7566,0,0,0.613,2020-09-18
P100118,C10939,Health,South,382023,27485,0,0,0.501,2022-12-21
P100119,C39464,Property,South,381731,16817,1,30832,1.0,2022-08-16
P100120,C22263,Health,East,395409,28192,0,0,0.432,2023-03-03
P100121,C15813,Health,West,421848,28218,0,0,0.605,2021-07-24
P100122,C86095,Property,West,520201,24663,0,0,0.797,2020-11-07
P100123,C70125,Auto,East,264391,14316,0,0,0.717,2021-07-18
P100124,C46219,Auto,East,310957,12934,1,21614,1.0,2022-07-11
P100125,C29366,Property,North,258356,9929,1,20026,0.923,2024-12-19
P100126,C58387,Health,North,300198,19068,0,0,0.63,2022-06-10
P100127,C99263,Health,South,453287,25573,0,0,0.628,2022-01-03
P100128,C81852,Auto,South,165499,7525,0,0,0.845,2024-11-14
P100129,C12900,Property,South,213895,8821,1,61255,1.0,2020-09-28
P100130,C97636,Property,South,437718,20545,0,0,0.704,2024-04-11
P100131,C11878,Auto,North,402004,16361,0,0,0.695,2021-12-29
P100132,C74088,Auto,West,263687,14604,0,0,0.612,2025-01-06
P100133,C31148,Property,South,385440,16791,1,25434,1.0,2025-02-14
P100134,C22028,Health,West,334122,23768,0,0,0.663,2022-06-09
P100135,C34035,Property,South,450027,21102,0,0,0.498,2023-03-11
P100136,C10590,Property,East,307451,13588,0,0,0.496,2024-11-15
P100137,C75834,Life,South,402563,12175,0,0,0.304,2022-03-16
P100138,C50871,Property,South,564201,19898,1,6908,0.965,2022-05-21
P100139,C81778,Health,South,359810,21979,0,0,0.387,2022-10-17
P100140,C62331,Health,North,304933,20238,0,0,0.523,2024-03-09
P100141,C65134,Auto,East,372245,21558,0,0,0.641,2022-08-02
P100142,C21346,Property,South,263472,11760,0,0,0.67,2021-06-02
P100143,C75528,Property,South,538797,18925,0,0,0.52,2021-05-05
P100144,C58757,Auto,West,318007,16534,0,0,0.777,2025-01-26
P100145,C60369,Auto,East,272707,12720,0,0,0.684,2023-06-19
P100146,C43518,Life,South,216431,5218,0,0,0.206,2023-02-15
P100147,C60361,Property,West,409722,14424,0,0,0.606,2023-06-22
P100148,C16674,Auto,West,386719,16344,1,17074,0.877,2021-09-04
P100149,C34411,Auto,North,250265,14229,1,8561,0.93,2023-09-01
P100150,C23929,Health,West,357645,19386,0,0,0.534,2023-07-29
P100151,C89817,Auto,South,149144,6815,0,0,0.523,2021-06-11
P100152,C49344,Auto,North,318497,18855,0,0,0.443,2021-04-08
P100153,C17181,Property,North,345276,13143,0,0,0.366,2022-06-21
P100154,C82011,Health,South,470733,22703,0,0,0.633,2022-09-16
P100155,C65705,Auto,East,222918,10182,1,35307,1.0,2023-01-15
P100156,C69451,Life,West,172165,4378,1,23192,0.679,2022-03-29
P100157,C83730,Life,North,210457,5311,0,0,0.395,2022-06-01
P100158,C49754,Auto,East,166343,6912,0,0,0.66,2021-04-21
P100159,C23881,Life,South,433666,13495,0,0,0.327,2025-05-27
P100160,C84097,Property,West,454864,15934,0,0,0.603,2022-04-02
P100161,C48847,Life,West,332022,9408,1,31709,0.77,2020-07-17
P100162,C33432,Life,North,422129,14498,0,0,0.329,2023-12-28
P100163,C31810,Property,West,313396,12156,0,0,0.677,2021-10-07
P100164,C90636,Auto,West,290489,16940,0,0,0.682,2023-08-07
P100165,C18345,Health,West,266696,15989,0,0,0.454,2020-11-04
P100166,C48630,Property,West,268961,10323,0,0,0.566,2022-04-30
P100167,C52443,Auto,South,145220,7988,0,0,0.47,2024-04-04
P100168,C94853,Auto,East,326425,13535,0,0,0.728,2022-11-12
P100169,C87281,Property,South,295967,9895,0,0,0.479,2020-07-16
P100170,C22742,Life,South,374536,11919,0,0,0.363,2024-07-03
P100171,C74079,Auto,North,309352,15387,0,0,0.691,2021-07-07
P100172,C57664,Property,West,283730,12668,0,0,0.611,2023-12-07
P100173,C31174,Auto,South,212881,12416,0,0,0.77,2023-02-20
P100174,C34243,Life,West,307215,8805,2,95925,1.0,2021-07-23
P100175,C54168,Auto,South,373824,19412,1,44913,1.0,2023-09-20
P100176,C61160,Life,South,185666,5572,0,0,0.327,2021-07-22
P100177,C10234,Property,North,308747,14729,0,0,0.582,2022-11-16
P100178,C51016,Health,East,323304,21967,1,44269,1.0,2021-05-01
P100179,C86524,Auto,East,228194,13289,2,91505,1.0,2021-07-06
P100180,C15290,Property,South,241214,8700,0,0,0.67,2021-12-23
P100181,C46886,Auto,North,323061,17914,0,0,0.711,2024-05-28
P100182,C78864,Health,West,186658,10149,0,0,0.393,2023-09-26
P100183,C73103,Health,West,334992,17758,0,0,0.447,2024-07-12
P100184,C59402,Auto,South,210465,12393,0,0,0.694,2023-05-17
P100185,C61453,Life,East,406285,9845,0,0,0.369,2022-10-23
P100186,C25856,Health,North,533783,37989,0,0,0.342,2023-05-18
P100187,C48355,Property,East,213924,7356,0,0,0.544,2022-10-16
P100188,C28609,Property,West,353421,15943,0,0,0.56,2022-04-27
P100189,C50761,Auto,East,227326,10348,0,0,0.692,2022-06-08
P100190,C24120,Auto,West,404095,18998,0,0,0.57,2021-10-07
P100191,C83341,Health,North,173474,9229,0,0,0.478,2024-07-14
P100192,C12639,Health,North,348059,21598,1,22258,0.892,2020-12-23
P100193,C38025,Life,South,212701,5993,0,0,0.196,2024-08-13
P100194,C23561,Property,South,279302,11875,1,26530,1.0,2021-03-17
P100195,C16882,Property,East,196897,6350,1,58943,1.0,2023-12-26
P100196,C25427,Life,North,382235,9469,2,86938,1.0,2024-07-06
P100197,C31970,Health,North,216302,10900,0,0,0.411,2025-07-01
P100198,C77403,Health,South,355196,20621,1,30942,1.0,2024-08-05
P100199,C47911,Life,West,265590,8971,1,2013,0.439,2023-11-07
P100200,C27809,Life,East,288553,10001,1,11594,0.556,2024-05-09
P100201,C23299,Auto,East,314776,14132,0,0,0.73,2024-01-11
P100202,C84588,Auto,South,223818,11524,0,0,0.723,2021-04-21
P100203,C49264,Health,North,321037,21330,0,0,0.458,2025-05-20
P100204,C61662,Life,South,453033,12443,0,0,0.273,2020-10-02
P100205,C85186,Auto,South,222191,10705,0,0,0.555,2021-05-28
P100206,C91323,Auto,South,417181,21059,0,0,0.84,2025-03-15
P100207,C29293,Life,South,449810,11523,0,0,0.369,2022-12-29
P100208,C73718,Auto,West,218385,8849,1,48556,1.0,2024-05-04
P100209,C61686,Auto,West,154495,6652,0,0,0.54,2025-02-27
P100210,C62691,Property,North,330196,13878,0,0,0.54,2021-01-01
P100211,C81561,Life,South,245259,6103,0,0,0.267,2025-02-14
P100212,C22512,Life,West,486860,12793,0,0,0.107,2024-09-14
P100213,C50355,Auto,North,303481,14190,0,0,0.789,2025-06-01
P100214,C75883,Life,South,219780,5480,0,0,0.445,2023-10-13
P100215,C99002,Auto,East,185284,8122,1,37278,1.0,2021-11-16
P100216,C88839,Property,West,408990,19051,0,0,0.495,2024-04-29
P100217,C81265,Life,North,242882,5885,0,0,0.312,2024-11-18
P100218,C75171,Life,East,304383,9692,0,0,0.432,2022-07-31
P100219,C74420,Health,South,395580,22637,0,0,0.475,2022-06-13
P100220,C54248,Life,South,251574,8068,0,0,0.243,2023-08-30
P100221,C46593,Property,South,295407,12235,0,0,0.413,2021-07-16
P100222,C91040,Auto,West,298343,13267,0,0,0.813,2023-08-17
P100223,C44055,Property,North,368332,16779,0,0,0.598,2022-12-19
P100224,C41759,Auto,East,359074,17896,0,0,0.627,2022-04-04
P100225,C55012,Auto,North,277989,15693,1,33985,1.0,2024-01-12
P100226,C54043,Health,West,306365,17691,0,0,0.515,2022-07-04
P100227,C26075,Property,North,262822,12551,0,0,0.617,2021-03-14
P100228,C41184,Health,West,152239,10123,2,54555,1.0,2022-01-07
P100229,C75417,Life,South,325760,11594,1,69603,1.0,2021-03-04
P100230,C35208,Life,East,489219,14761,1,41498,0.902,2024-07-24
P100231,C78332,Property,South,211628,8376,0,0,0.762,2022-08-31
P100232,C27546,Property,North,222697,9818,0,0,0.656,2023-08-03
P100233,C59127,Property,South,212927,9813,0,0,0.635,2020-12-24
P100234,C60430,Auto,East,372459,22080,0,0,0.689,2024-01-14
P100235,C34240,Life,South,344849,9619,0,0,0.397,2023-09-30
P100236,C39648,Auto,East,284146,15905,0,0,0.711,2020-12-07
P100237,C81001,Auto,East,208198,9205,0,0,0.607,2023-06-18
P100238,C80100,Life,South,309238,9446,0,0,0.203,2021-05-10
P100239,C76108,Auto,West,143538,6258,3,142446,1.0,2023-04-27
P100240,C59570,Health,North,314343,17709,0,0,0.409,2021-04-25
P100241,C34367,Health,West,387152,27237,0,0,0.494,2024-01-14
P100242,C60477,Health,West,174880,9007,0,0,0.606,2024-08-03
P100243,C64473,Property,South,146748,6181,0,0,0.63,2022-05-04
P100244,C30157,Auto,North,457944,23749,0,0,0.628,2024-05-20
P100245,C36411,Health,North,238824,12156,1,40807,1.0,2023-02-19
P100246,C75045,Property,West,413595,15392,1,13068,0.985,2022-12-01
P100247,C35638,Health,South,284600,17506,0,0,0.602,2023-08-24
P100248,C11892,Health,North,283805,14898,0,0,0.273,2020-07-18
P100249,C42960,Health,West,343841,23111,0,0,0.533,2024-12-17
P100250,C99904,Auto,North,211600,12578,1,58595,1.0,2021-07-24
P100251,C33830,Property,South,313250,11100,0,0,0.77,2024-04-30
P100252,C71428,Health,South,261851,13743,0,0,0.354,2022-11-05
P100253,C16210,Property,South,167951,6597,0,0,0.721,2024-02-20
P100254,C68239,Auto,North,333748,18341,0,0,0.864,2024-04-21
P100255,C30563,Property,East,273669,9990,0,0,0.398,2022-12-24
P100256,C87664,Health,North,284298,13782,0,0,0.548,2023-10-18
P100257,C76429,Life,East,178984,5458,0,0,0.362,2023-08-30
P100258,C40279,Property,South,459140,21720,0,0,0.567,2021-03-07
P100259,C70396,Auto,West,387671,18541,1,12048,0.971,2021-10-21
P100260,C18936,Life,East,396416,11513,0,0,0.367,2023-08-03
P100261,C97915,Health,South,269456,19200,0,0,0.439,2024-07-06
P100262,C87695,Auto,South,127082,6849,0,0,0.678,2022-11-27
P100263,C56425,Property,East,495292,21549,1,24218,1.0,2025-01-07
P100264,C19113,Health,West,293890,18076,1,46506,1.0,2021-01-15
P100265,C28651,Life,South,225120,8036,0,0,0.354,2025-05-09
P100266,C67421,Life,East,341680,11025,0,0,0.313,2025-04-20
P100267,C18028,Life,West,416712,14477,0,0,0.248,2025-01-12
P100268,C35181,Property,West,297695,12857,0,0,0.499,2021-07-04
P100269,C39591,Auto,South,427858,23405,0,0,0.811,2022-12-25
P100270,C15004,Health,North,408300,22444,0,0,0.485,2025-02-15
P100271,C67791,Health,North,192362,10634,0,0,0.615,2021-04-06
P100272,C96253,Health,South,232621,15537,1,14661,0.814,2023-10-29
P100273,C65524,Health,West,395754,21814,3,58443,1.0,2021-01-07
P100274,C65117,Property,South,50000,2050,1,35169,1.0,2023-06-19
P100275,C62796,Property,East,285054,10259,0,0,0.592,2020-11-06
P100276,C99897,Life,North,156917,5304,0,0,0.179,2023-06-02
P100277,C67800,Life,East,252345,6391,0,0,0.482,2021-05-09
P100278,C74123,Life,South,270118,9171,1,42357,0.861,2025-05-08
P100279,C71116,Life,South,264176,8251,0,0,0.393,2022-02-08
P100280,C56731,Health,West,244774,12847,0,0,0.584,2021-02-07
P100281,C42791,Property,West,190286,7739,1,8262,0.757,2023-12-23
P100282,C12842,Property,West,529191,19326,0,0,0.5,2024-08-09
P100283,C75563,Auto,East,486746,22619,0,0,0.67,2023-02-03
P100284,C78789,Property,West,183793,6915,0,0,0.513,2023-08-28
P100285,C75888,Auto,South,458212,18909,0,0,0.873,2021-11-11
P100286,C79809,Property,West,260053,12424,0,0,0.58,2021-06-23
P100287,C77153,Property,North,312919,10171,1,17383,1.0,2023-07-08
P100288,C40263,Auto,West,293673,15638,0,0,0.751,2022-10-14
P100289,C29670,Property,East,234025,8879,1,71425,1.0,2023-11-19
P100290,C60269,Auto,North,398385,21083,1,32701,1.0,2024-09-03
P100291,C37433,Auto,North,312589,14731,1,48787,1.0,2022-08-15
P100292,C87095,Health,North,252345,16193,1,36867,0.986,2021-11-05
P100293,C70136,Property,East,169541,7403,0,0,0.773,2022-04-02
P100294,C60801,Auto,South,210640,11335,0,0,0.571,2021-01-02
P100295,C69847,Property,West,135862,4595,0,0,0.678,2020-09-04
P100296,C43735,Life,North,301222,9604,1,37909,0.739,2022-12-31
P100297,C54693,Auto,North,180333,8223,0,0,0.668,2025-05-19
P100298,C80616,Life,North,273444,6657,0,0,0.309,2020-07-24
P100299,C69464,Auto,South,437010,21106,0,0,0.651,2022-11-28
P100300,C52030,Auto,South,419930,20438,2,40069,1.0,2024-08-14
P100301,C48452,Property,East,296772,11715,0,0,0.461,2020-10-30
P100302,C11529,Property,South,291292,12606,0,0,0.501,2022-08-27
P100303,C44675,Life,West,487987,13520,0,0,0.35,2024-06-24
P100304,C24103,Life,East,352076,9782,0,0,0.303,2021-10-27
P100305,C51724,Health,East,267219,13215,0,0,0.431,2020-10-24
P100306,C43093,Property,West,157398,6766,0,0,0.732,2021-04-16
P100307,C77884,Property,West,339387,13944,0,0,0.478,2021-03-03
P100308,C24812,Life,West,382932,10796,0,0,0.264,2021-02-04
P100309,C77693,Auto,East,236835,12814,0,0,0.649,2023-08-21
P100310,C42570,Property,East,329120,13362,0,0,0.662,2020-11-21
P100311,C10552,Auto,East,263643,13020,0,0,0.705,2024-10-15
P100312,C96346,Auto,West,281597,14144,0,0,0.689,2021-05-29
P100313,C53322,Health,West,51218,3241,0,0,0.316,2020-10-22
P100314,C88087,Health,North,277822,17736,0,0,0.587,2021-03-23
P100315,C78147,Life,South,396937,10903,2,14204,0.82,2024-10-30
P100316,C94152,Property,North,236860,8113,0,0,0.612,2023-05-19
P100317,C76003,Auto,West,305253,13166,0,0,0.625,2021-08-29
P100318,C21227,Auto,East,224405,11846,0,0,0.609,2020-11-22
P100319,C56559,Auto,West,336044,19308,3,157108,1.0,2024-01-10
P100320,C14924,Property,South,278348,10731,1,58715,1.0,2024-08-20
P100321,C59590,Life,North,206076,5365,1,6339,0.458,2021-06-02
P100322,C84488,Life,North,433255,14332,0,0,0.448,2024-10-24
P100323,C61371,Auto,East,392893,22257,0,0,0.764,2022-05-26
P100324,C41117,Health,North,239509,16558,0,0,0.467,2020-09-21
P100325,C68634,Life,North,349779,10942,0,0,0.425,2022-09-19
P100326,C90899,Property,West,353741,16191,1,41207,1.0,2021-05-18
P100327,C45018,Life,North,364230,8809,0,0,0.323,2025-03-20
P100328,C58753,Property,North,130574,4402,0,0,0.623,2021-02-05
P100329,C28395,Auto,North,400661,16768,0,0,0.747,2022-08-13
P100330,C97426,Property,East,243030,10548,1,68160,1.0,2024-02-03
P100331,C97571,Life,East,264217,6562,0,0,0.52,2022-01-17
P100332,C26718,Auto,West,563788,28148,2,46371,1.0,2023-03-14
P100333,C52324,Auto,North,330187,16329,1,35946,1.0,2021-06-01
P100334,C27671,Auto,East,261368,12079,1,48695,1.0,2024-02-10
P100335,C16520,Auto,East,79471,4562,1,34493,1.0,2022-08-16
P100336,C32057,Health,West,438976,22866,0,0,0.686,2023-12-19
P100337,C43263,Life,South,165479,4671,0,0,0.398,2023-08-30
P100338,C21183,Property,North,199656,8862,0,0,0.546,2025-02-17
P100339,C92343,Auto,East,266865,10837,1,12275,1.0,2024-03-18
P100340,C64762,Property,West,441641,18888,0,0,0.47,2024-02-06
P100341,C64040,Property,West,377324,17003,0,0,0.503,2020-09-01
P100342,C66946,Auto,West,284216,16668,0,0,0.715,2024-03-05
P100343,C98119,Property,East,330829,15225,1,39118,1.0,2023-01-30
P100344,C26331,Property,North,239961,8905,0,0,0.496,2021-09-10
P100345,C77887,Life,South,313965,9744,0,0,0.349,2022-01-31
P100346,C47252,Life,North,307334,7661,1,29166,0.783,2025-01-13
P100347,C54601,Auto,West,396877,17922,0,0,0.543,2023-04-19
P100348,C88931,Property,West,396718,13293,1,42937,1.0,2025-05-01
P100349,C29393,Life,South,349398,9707,1,72761,1.0,2022-11-09
P100350,C32661,Property,North,263765,12134,1,44248,1.0,2025-05-08
P100351,C18981,Health,West,374182,21078,1,14247,0.656,2021-06-05
P100352,C24315,Life,West,290803,8940,0,0,0.413,2022-01-21
P100353,C17103,Auto,North,191809,9335,0,0,0.69,2023-11-19
P100354,C10025,Auto,West,259671,12770,0,0,0.673,2024-07-01
P100355,C90475,Life,North,308453,10992,1,23453,0.716,2023-12-23
P100356,C59313,Auto,West,391022,17957,0,0,0.586,2024-11-21
P100357,C28559,Property,North,281647,11840,1,26831,1.0,2023-05-27
P100358,C48949,Health,South,179080,10401,0,0,0.487,2020-12-15
P100359,C63378,Property,West,305674,10081,0,0,0.524,2022-04-10
P100360,C93523,Property,South,311346,12401,0,0,0.539,2022-07-06
P100361,C48773,Life,West,318584,10755,0,0,0.177,2022-10-05
P100362,C76311,Property,West,391987,13163,1,32442,1.0,2021-06-11
P100363,C45680,Property,East,401892,13308,1,54141,1.0,2021-12-17
P100364,C83456,Health,North,240579,12435,0,0,0.457,2020-11-16
P100365,C85971,Property,South,238386,10544,0,0,0.606,2024-09-23
P100366,C83677,Health,South,195980,12812,0,0,0.492,2021-04-11
P100367,C93954,Health,South,369882,22770,1,31324,1.0,2023-03-22
P100368,C28001,Auto,North,444882,21961,3,84314,1.0,2022-01-15
P100369,C48761,Auto,East,268492,15510,1,3139,0.991,2023-07-25
P100370,C18679,Auto,South,275857,15264,0,0,0.795,2021-12-10
P100371,C19404,Auto,North,446678,25121,0,0,0.615,2022-10-04
P100372,C71226,Auto,West,350556,19724,1,6738,0.917,2020-10-03
P100373,C97160,Life,South,343624,10897,0,0,0.365,2020-12-26
P100374,C32981,Auto,South,180908,8893,0,0,0.767,2021-07-04
P100375,C13491,Property,East,367873,16861,0,0,0.532,2024-12-26
P100376,C23642,Health,South,207086,14542,0,0,0.561,2021-09-22
P100377,C38529,Auto,South,186598,7553,1,20902,1.0,2023-08-08
P100378,C79744,Health,West,265323,13064,1,39763,1.0,2020-12-20
P100379,C32363,Auto,North,241421,14286,1,19679,1.0,2023-01-31
P100380,C44423,Auto,North,277840,12654,0,0,0.562,2022-12-27
P100381,C32624,Life,East,155902,5376,0,0,0.257,2022-08-15
P100382,C42981,Life,West,395882,11348,0,0,0.518,2021-01-13
P100383,C43862,Health,North,412769,20993,1,1455,0.735,2025-02-06
P100384,C98418,Life,West,105266,2628,1,13605,0.866,2020-10-16
P100385,C60010,Health,North,397846,20591,0,0,0.356,2022-09-06
P100386,C53134,Auto,West,218947,9852,0,0,0.775,2023-04-08
P100387,C72546,Auto,East,385698,19196,0,0,0.447,2023-07-29
P100388,C43983,Life,South,293155,9503,0,0,0.3,2022-12-26
P100389,C50562,Health,East,302878,21708,0,0,0.563,2024-02-28
P100390,C74245,Health,North,281490,16494,1,59857,1.0,2021-03-15
P100391,C27247,Property,East,421213,16971,0,0,0.52,2025-01-21
P100392,C21918,Property,South,176041,7103,0,0,0.704,2020-09-29
P100393,C62625,Life,East,360784,10994,0,0,0.247,2023-12-23
P100394,C65916,Property,North,410133,16522,1,70266,1.0,2021-11-21
P100395,C54846,Health,North,371634,17917,0,0,0.457,2022-01-26
P100396,C23684,Health,East,532470,25581,1,9213,0.678,2023-08-22
P100397,C51870,Property,South,247105,8294,0,0,0.757,2025-02-04
P100398,C55666,Life,East,395730,9980,0,0,0.305,2023-09-25
P100399,C75093,Life,South,289391,9393,1,9931,0.708,2020-09-08
